dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,llama,llm_only,,0.147444,0.0,0.093242,0.0,300,300,full_logistic
cuad,llama,expert_only,20.0,2.751382,0.07685,7.186205,1.099899,300,300,full_logistic
cuad,llama,expert_only,26.0,2.349858,0.0785,4.748179,0.765594,300,300,full_logistic
cuad,llama,expert_only,33.0,1.939451,0.069139,3.71119,0.552316,300,300,full_logistic
cuad,llama,expert_only,43.0,1.320652,0.047598,1.634427,0.354264,300,300,full_logistic
cuad,llama,expert_only,56.0,1.18129,0.045071,2.241794,0.304331,300,300,full_logistic
cuad,llama,expert_only,72.0,0.871161,0.032059,1.376715,0.189243,300,300,full_logistic
cuad,llama,expert_only,93.0,0.662795,0.021496,0.909085,0.158734,300,300,full_logistic
cuad,llama,expert_only,120.0,0.571918,0.020155,0.596112,0.112791,300,300,full_logistic
cuad,llama,expert_only,155.0,0.426425,0.012766,0.455198,0.09705,300,300,full_logistic
cuad,llama,expert_only,200.0,0.365953,0.01117,0.2416,0.067007,300,300,full_logistic
cuad,llama,dsl,20.0,0.761557,0.010498,-0.602737,0.258644,300,300,full_logistic
cuad,llama,dsl,26.0,0.659663,0.010053,-0.194123,0.205903,300,300,full_logistic
cuad,llama,dsl,33.0,0.536116,0.006036,-0.382701,0.08456,300,300,full_logistic
cuad,llama,dsl,43.0,0.541552,0.005345,-0.493364,0.082394,300,300,full_logistic
cuad,llama,dsl,56.0,0.51282,0.004169,-0.293471,0.067314,300,300,full_logistic
cuad,llama,dsl,72.0,0.518139,0.003955,-0.463059,0.055842,300,300,full_logistic
cuad,llama,dsl,93.0,0.51472,0.003247,-0.509535,0.047825,300,300,full_logistic
cuad,llama,dsl,120.0,0.510585,0.002963,-0.432219,0.038228,300,300,full_logistic
cuad,llama,dsl,155.0,0.502539,0.002657,-0.422802,0.033308,300,300,full_logistic
cuad,llama,dsl,200.0,0.503118,0.002263,-0.485568,0.031088,300,300,full_logistic
cuad,llama,ppi,20.0,1.755465,0.087571,-0.871815,0.597881,300,300,full_logistic
cuad,llama,ppi,26.0,1.063848,0.047703,-1.08082,0.418403,300,300,full_logistic
cuad,llama,ppi,33.0,0.638245,0.024111,-0.033352,0.151958,300,300,full_logistic
cuad,llama,ppi,43.0,0.522404,0.016674,-0.443155,0.167989,300,300,full_logistic
cuad,llama,ppi,56.0,0.388449,0.010142,-0.160835,0.123511,300,300,full_logistic
cuad,llama,ppi,72.0,0.369436,0.008928,-0.334001,0.091671,300,300,full_logistic
cuad,llama,ppi,93.0,0.333119,0.007197,-0.327506,0.064439,300,300,full_logistic
cuad,llama,ppi,120.0,0.316665,0.00668,-0.257077,0.057219,300,300,full_logistic
cuad,llama,ppi,155.0,0.297773,0.006307,-0.229728,0.047786,300,300,full_logistic
cuad,llama,ppi,200.0,0.292441,0.005884,-0.300378,0.043401,300,300,full_logistic
cuad,llama,ppipp,20.0,0.634216,0.017345,1.38512,0.293712,300,300,full_logistic
cuad,llama,ppipp,26.0,0.55486,0.013508,1.15401,0.22376,300,300,full_logistic
cuad,llama,ppipp,33.0,0.461818,0.011853,0.523953,0.156522,300,300,full_logistic
cuad,llama,ppipp,43.0,0.422739,0.009629,0.210437,0.120541,300,300,full_logistic
cuad,llama,ppipp,56.0,0.358726,0.007872,0.411398,0.104495,300,300,full_logistic
cuad,llama,ppipp,72.0,0.337048,0.007584,0.137946,0.078236,300,300,full_logistic
cuad,llama,ppipp,93.0,0.332574,0.007349,-0.041941,0.069571,300,300,full_logistic
cuad,llama,ppipp,120.0,0.315065,0.006792,-0.071338,0.05473,300,300,full_logistic
cuad,llama,ppipp,155.0,0.294948,0.006386,-0.090168,0.04826,300,300,full_logistic
cuad,llama,ppipp,200.0,0.282402,0.005666,-0.177256,0.04007,300,300,full_logistic
