dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,mistral,llm_only,,0.578609,0.0,0.578609,0.0,0.580771,0.0,300,300,low_variance
cuad,mistral,expert_only,20.0,2.962467,0.164092,0.835661,0.164092,3.379817,0.125284,300,300,low_variance
cuad,mistral,expert_only,26.0,2.282674,0.123957,0.775245,0.123957,2.66253,0.090997,300,300,low_variance
cuad,mistral,expert_only,33.0,1.793669,0.101329,0.370127,0.101329,2.070846,0.07381,300,300,low_variance
cuad,mistral,expert_only,43.0,1.929812,0.105696,0.610471,0.105696,2.240491,0.08818,300,300,low_variance
cuad,mistral,expert_only,56.0,1.451128,0.079693,0.44777,0.079693,1.699079,0.061066,300,300,low_variance
cuad,mistral,expert_only,72.0,0.973502,0.055828,0.112606,0.055828,1.197628,0.039149,300,300,low_variance
cuad,mistral,expert_only,93.0,0.924251,0.052043,0.204192,0.052043,1.108971,0.036265,300,300,low_variance
cuad,mistral,expert_only,120.0,0.825223,0.046204,0.201387,0.046204,0.971656,0.032034,300,300,low_variance
cuad,mistral,expert_only,155.0,0.706726,0.040501,0.085817,0.040501,0.836046,0.025698,300,300,low_variance
cuad,mistral,expert_only,200.0,0.576374,0.033091,0.060917,0.033091,0.672401,0.019827,300,300,low_variance
cuad,mistral,dsl,20.0,1.363241,0.078333,-0.132634,0.078333,1.831357,0.052688,300,300,low_variance
cuad,mistral,dsl,26.0,1.135232,0.065313,0.094966,0.065313,1.41621,0.039201,300,300,low_variance
cuad,mistral,dsl,33.0,0.746589,0.04196,-0.17086,0.04196,0.902185,0.029944,300,300,low_variance
cuad,mistral,dsl,43.0,0.617181,0.035153,-0.100927,0.035153,0.768955,0.024105,300,300,low_variance
cuad,mistral,dsl,56.0,0.459803,0.02622,-0.071898,0.02622,0.580707,0.016968,300,300,low_variance
cuad,mistral,dsl,72.0,0.468545,0.025985,-0.130252,0.025985,0.5684,0.017661,300,300,low_variance
cuad,mistral,dsl,93.0,0.448008,0.024982,-0.116122,0.024982,0.529157,0.016046,300,300,low_variance
cuad,mistral,dsl,120.0,0.387804,0.021133,-0.128124,0.021133,0.454898,0.012879,300,300,low_variance
cuad,mistral,dsl,155.0,0.353664,0.01907,-0.126428,0.01907,0.418647,0.011231,300,300,low_variance
cuad,mistral,dsl,200.0,0.302031,0.015898,-0.124092,0.015898,0.349668,0.010102,300,300,low_variance
cuad,mistral,ppi,20.0,2.850878,0.164117,0.217202,0.164117,3.238555,0.171579,300,300,low_variance
cuad,mistral,ppi,26.0,1.584799,0.091203,0.127155,0.091203,1.745468,0.082515,300,300,low_variance
cuad,mistral,ppi,33.0,1.103186,0.063541,-0.076071,0.063541,1.246736,0.049342,300,300,low_variance
cuad,mistral,ppi,43.0,0.935763,0.053866,0.072028,0.053866,1.079943,0.040412,300,300,low_variance
cuad,mistral,ppi,56.0,0.595143,0.034056,0.079109,0.034056,0.72354,0.020655,300,300,low_variance
cuad,mistral,ppi,72.0,0.643744,0.037155,0.016043,0.037155,0.762035,0.026261,300,300,low_variance
cuad,mistral,ppi,93.0,0.60818,0.035113,0.003358,0.035113,0.692122,0.021796,300,300,low_variance
cuad,mistral,ppi,120.0,0.486212,0.027988,-0.037386,0.027988,0.565668,0.0164,300,300,low_variance
cuad,mistral,ppi,155.0,0.452459,0.026114,-0.011751,0.026114,0.530232,0.015407,300,300,low_variance
cuad,mistral,ppi,200.0,0.368233,0.021249,-0.011664,0.021249,0.434041,0.012148,300,300,low_variance
cuad,mistral,ppipp,20.0,1.29822,0.072881,0.303157,0.072881,1.635463,0.05381,300,300,high_variance
cuad,mistral,ppipp,26.0,1.072131,0.060177,0.251149,0.060177,1.333728,0.03804,300,300,high_variance
cuad,mistral,ppipp,33.0,0.967773,0.05577,0.059072,0.05577,1.18343,0.037586,300,300,high_variance
cuad,mistral,ppipp,43.0,0.878336,0.049584,0.184133,0.049584,1.134582,0.035537,300,300,high_variance
cuad,mistral,ppipp,56.0,0.720638,0.040691,0.150292,0.040691,0.893899,0.026439,300,300,high_variance
cuad,mistral,ppipp,72.0,0.568068,0.032784,-0.016231,0.032784,0.730603,0.02045,300,300,high_variance
cuad,mistral,ppipp,93.0,0.544401,0.031391,0.027426,0.031391,0.681562,0.018507,300,300,high_variance
cuad,mistral,ppipp,120.0,0.508561,0.029312,0.029641,0.029312,0.6152,0.018212,300,300,high_variance
cuad,mistral,ppipp,155.0,0.4535,0.026143,-0.025135,0.026143,0.550231,0.015046,300,300,high_variance
cuad,mistral,ppipp,200.0,0.391714,0.022551,-0.02953,0.022551,0.459467,0.013098,300,300,high_variance
