dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,,0.822778,0.0,-2.405195,0.0,300,300,full_logistic
misogynistic,claude,expert_only,20.0,1.047633,0.015952,2.461584,0.566959,300,300,full_logistic
misogynistic,claude,expert_only,72.0,0.641903,0.014892,2.676299,0.348575,300,300,full_logistic
misogynistic,claude,expert_only,200.0,0.319291,0.006497,0.606465,0.139925,300,300,full_logistic
misogynistic,claude,dsl,20.0,0.930403,0.003877,0.042637,0.080588,300,300,full_logistic
misogynistic,claude,dsl,72.0,0.902525,0.002063,0.286073,0.037575,300,300,full_logistic
misogynistic,claude,dsl,200.0,0.898492,0.001137,0.277862,0.020827,300,300,full_logistic
misogynistic,claude,ppi,20.0,1.107524,0.030187,1.696602,0.51029,300,300,full_logistic
misogynistic,claude,ppi,72.0,0.856484,0.009998,1.565275,0.2488,300,300,full_logistic
misogynistic,claude,ppi,200.0,0.817421,0.005639,0.706722,0.103297,300,300,full_logistic
