dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
misogynistic,deepseek,llm_only,,0.176,0.0,0.176,0.0,300,prevalence
misogynistic,deepseek,expert_only,20.0,0.211818,0.012229,0.001333,0.012229,300,prevalence
misogynistic,deepseek,expert_only,26.0,0.198912,0.011437,0.017949,0.011437,300,prevalence
misogynistic,deepseek,expert_only,33.0,0.163037,0.009385,-0.012525,0.009385,300,prevalence
misogynistic,deepseek,expert_only,43.0,0.153864,0.00887,-0.008527,0.00887,300,prevalence
misogynistic,deepseek,expert_only,56.0,0.133503,0.007706,-0.003095,0.007706,300,prevalence
misogynistic,deepseek,expert_only,72.0,0.111815,0.006451,-0.004167,0.006451,300,prevalence
misogynistic,deepseek,expert_only,93.0,0.098558,0.005679,0.006308,0.005679,300,prevalence
misogynistic,deepseek,expert_only,120.0,0.087496,0.005048,0.003222,0.005048,300,prevalence
misogynistic,deepseek,expert_only,155.0,0.073314,0.004225,0.004344,0.004225,300,prevalence
misogynistic,deepseek,expert_only,200.0,0.064738,0.003736,0.002167,0.003736,300,prevalence
misogynistic,deepseek,dsl,20.0,0.211885,0.012233,-0.00025,0.012233,300,prevalence
misogynistic,deepseek,dsl,26.0,0.180381,0.010365,0.017458,0.010365,300,prevalence
misogynistic,deepseek,dsl,33.0,0.136329,0.007845,-0.011044,0.007845,300,prevalence
misogynistic,deepseek,dsl,43.0,0.121527,0.006992,-0.010208,0.006992,300,prevalence
misogynistic,deepseek,dsl,56.0,0.104744,0.006045,-0.002653,0.006045,300,prevalence
misogynistic,deepseek,dsl,72.0,0.090638,0.005232,-0.00166,0.005232,300,prevalence
misogynistic,deepseek,dsl,93.0,0.076095,0.004393,0.000884,0.004393,300,prevalence
misogynistic,deepseek,dsl,120.0,0.071984,0.004156,0.000773,0.004156,300,prevalence
misogynistic,deepseek,dsl,155.0,0.057294,0.003289,0.006127,0.003289,300,prevalence
misogynistic,deepseek,dsl,200.0,0.048186,0.002781,0.001145,0.002781,300,prevalence
misogynistic,deepseek,ppi,20.0,0.16458,0.009494,0.006816,0.009494,300,prevalence
misogynistic,deepseek,ppi,26.0,0.150082,0.00856,0.023245,0.00856,300,prevalence
misogynistic,deepseek,ppi,33.0,0.134284,0.00775,-0.003899,0.00775,300,prevalence
misogynistic,deepseek,ppi,43.0,0.121576,0.007016,-0.003782,0.007016,300,prevalence
misogynistic,deepseek,ppi,56.0,0.105398,0.006085,0.000852,0.006085,300,prevalence
misogynistic,deepseek,ppi,72.0,0.090002,0.005195,0.001549,0.005195,300,prevalence
misogynistic,deepseek,ppi,93.0,0.076021,0.004385,0.003345,0.004385,300,prevalence
misogynistic,deepseek,ppi,120.0,0.07166,0.004135,0.002481,0.004135,300,prevalence
misogynistic,deepseek,ppi,155.0,0.057215,0.003273,0.007682,0.003273,300,prevalence
misogynistic,deepseek,ppi,200.0,0.048126,0.002777,0.001773,0.002777,300,prevalence
