dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
misogynistic,gpt54,llm_only,,0.344,0.0,-0.344,0.0,300,prevalence
misogynistic,gpt54,expert_only,20.0,0.211818,0.012229,0.001333,0.012229,300,prevalence
misogynistic,gpt54,expert_only,26.0,0.198912,0.011437,0.017949,0.011437,300,prevalence
misogynistic,gpt54,expert_only,33.0,0.163037,0.009385,-0.012525,0.009385,300,prevalence
misogynistic,gpt54,expert_only,43.0,0.153864,0.00887,-0.008527,0.00887,300,prevalence
misogynistic,gpt54,expert_only,56.0,0.133503,0.007706,-0.003095,0.007706,300,prevalence
misogynistic,gpt54,expert_only,72.0,0.111815,0.006451,-0.004167,0.006451,300,prevalence
misogynistic,gpt54,expert_only,93.0,0.098558,0.005679,0.006308,0.005679,300,prevalence
misogynistic,gpt54,expert_only,120.0,0.087496,0.005048,0.003222,0.005048,300,prevalence
misogynistic,gpt54,expert_only,155.0,0.073314,0.004225,0.004344,0.004225,300,prevalence
misogynistic,gpt54,expert_only,200.0,0.064738,0.003736,0.002167,0.003736,300,prevalence
misogynistic,gpt54,dsl,20.0,0.213607,0.012331,0.003632,0.012331,300,prevalence
misogynistic,gpt54,dsl,26.0,0.184494,0.010649,0.00428,0.010649,300,prevalence
misogynistic,gpt54,dsl,33.0,0.130502,0.007516,-0.009231,0.007516,300,prevalence
misogynistic,gpt54,dsl,43.0,0.1178,0.006795,-0.005212,0.006795,300,prevalence
misogynistic,gpt54,dsl,56.0,0.101561,0.005863,0.00073,0.005863,300,prevalence
misogynistic,gpt54,dsl,72.0,0.087808,0.005067,-0.002622,0.005067,300,prevalence
misogynistic,gpt54,dsl,93.0,0.080012,0.004611,0.004777,0.004611,300,prevalence
misogynistic,gpt54,dsl,120.0,0.070472,0.004065,0.003028,0.004065,300,prevalence
misogynistic,gpt54,dsl,155.0,0.059004,0.00339,0.005794,0.00339,300,prevalence
misogynistic,gpt54,dsl,200.0,0.05178,0.002987,0.002054,0.002987,300,prevalence
misogynistic,gpt54,ppi,20.0,0.180726,0.010379,-0.018605,0.010379,300,prevalence
misogynistic,gpt54,ppi,26.0,0.165162,0.009516,-0.010504,0.009516,300,prevalence
misogynistic,gpt54,ppi,33.0,0.131683,0.007501,-0.021487,0.007501,300,prevalence
misogynistic,gpt54,ppi,43.0,0.119424,0.006826,-0.016855,0.006826,300,prevalence
misogynistic,gpt54,ppi,56.0,0.102569,0.005906,-0.007388,0.005906,300,prevalence
misogynistic,gpt54,ppi,72.0,0.089252,0.005134,-0.007646,0.005134,300,prevalence
misogynistic,gpt54,ppi,93.0,0.080615,0.004653,0.001482,0.004653,300,prevalence
misogynistic,gpt54,ppi,120.0,0.070397,0.004064,0.000275,0.004064,300,prevalence
misogynistic,gpt54,ppi,155.0,0.058805,0.00339,0.003177,0.00339,300,prevalence
misogynistic,gpt54,ppi,200.0,0.051355,0.002965,0.000409,0.002965,300,prevalence
