dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,,0.245863,0.0,0.245863,0.0,2.537049,0.0,300,300,low_variance
misogynistic,llama,expert_only,20.0,9.947886,0.556732,2.444439,0.556732,11.098299,0.386305,300,300,low_variance
misogynistic,llama,expert_only,26.0,8.206946,0.444599,2.837861,0.444599,9.138514,0.305781,300,300,low_variance
misogynistic,llama,expert_only,33.0,7.984289,0.424498,3.112781,0.424498,8.787909,0.303958,300,300,low_variance
misogynistic,llama,expert_only,43.0,6.518735,0.353436,2.24029,0.353436,7.144963,0.248163,300,300,low_variance
misogynistic,llama,expert_only,56.0,5.711349,0.299479,2.390216,0.299479,6.242903,0.209488,300,300,low_variance
misogynistic,llama,expert_only,72.0,4.370667,0.234231,1.625896,0.234231,4.91098,0.165562,300,300,low_variance
misogynistic,llama,expert_only,93.0,4.320355,0.231741,1.598234,0.231741,4.770375,0.172115,300,300,low_variance
misogynistic,llama,expert_only,120.0,3.153463,0.171609,1.053306,0.171609,3.528534,0.119261,300,300,low_variance
misogynistic,llama,expert_only,155.0,2.586673,0.141442,0.830112,0.141442,2.878297,0.099438,300,300,low_variance
misogynistic,llama,expert_only,200.0,2.038775,0.111757,0.640105,0.111757,2.353381,0.076591,300,300,low_variance
misogynistic,llama,dsl,20.0,1.905322,0.099693,-0.805398,0.099693,2.943131,0.084521,300,300,low_variance
misogynistic,llama,dsl,26.0,1.381524,0.077264,-0.343063,0.077264,2.295955,0.066088,300,300,low_variance
misogynistic,llama,dsl,33.0,0.970263,0.050462,-0.421282,0.050462,1.701309,0.048703,300,300,low_variance
misogynistic,llama,dsl,43.0,0.861147,0.040993,-0.487277,0.040993,1.447846,0.040248,300,300,low_variance
misogynistic,llama,dsl,56.0,0.823399,0.038636,-0.479749,0.038636,1.273701,0.033711,300,300,low_variance
misogynistic,llama,dsl,72.0,0.715886,0.030278,-0.487304,0.030278,1.126883,0.029222,300,300,low_variance
misogynistic,llama,dsl,93.0,0.72064,0.030257,-0.494647,0.030257,1.060074,0.0278,300,300,low_variance
misogynistic,llama,dsl,120.0,0.6649,0.024005,-0.518863,0.024005,0.933353,0.022116,300,300,low_variance
misogynistic,llama,dsl,155.0,0.599246,0.020746,-0.479556,0.020746,0.801217,0.018786,300,300,low_variance
misogynistic,llama,dsl,200.0,0.57101,0.018049,-0.477827,0.018049,0.754187,0.01876,300,300,low_variance
misogynistic,llama,ppi,20.0,2.097208,0.121079,-0.016538,0.121079,4.058745,0.133381,300,300,low_variance
misogynistic,llama,ppi,26.0,2.218566,0.128085,-0.017902,0.128085,3.730222,0.127576,300,300,low_variance
misogynistic,llama,ppi,33.0,1.649454,0.094484,-0.206202,0.094484,3.2222,0.102665,300,300,low_variance
misogynistic,llama,ppi,43.0,1.389992,0.079607,-0.175824,0.079607,2.714368,0.082651,300,300,low_variance
misogynistic,llama,ppi,56.0,1.146834,0.065076,-0.211591,0.065076,2.271576,0.067865,300,300,low_variance
misogynistic,llama,ppi,72.0,0.92051,0.051331,-0.238514,0.051331,1.994323,0.057823,300,300,low_variance
misogynistic,llama,ppi,93.0,0.927795,0.051826,-0.234553,0.051826,1.840697,0.051332,300,300,low_variance
misogynistic,llama,ppi,120.0,0.737446,0.038173,-0.326601,0.038173,1.572604,0.043855,300,300,low_variance
misogynistic,llama,ppi,155.0,0.726694,0.039112,-0.26299,0.039112,1.422454,0.040172,300,300,low_variance
misogynistic,llama,ppi,200.0,0.603141,0.031737,-0.248223,0.031737,1.289016,0.03691,300,300,low_variance
