dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,deepseek,llm_only,,0.633079,0.0,-0.633079,0.0,0.611786,0.0,300,300,low_variance
vuamc,deepseek,expert_only,20.0,0.657608,0.036973,0.149478,0.036973,0.648161,0.025503,300,300,low_variance
vuamc,deepseek,expert_only,26.0,0.569411,0.031944,0.134547,0.031944,0.561605,0.02173,300,300,low_variance
vuamc,deepseek,expert_only,33.0,0.454336,0.025551,0.102787,0.025551,0.446825,0.016268,300,300,low_variance
vuamc,deepseek,expert_only,43.0,0.387649,0.0223,0.03291,0.0223,0.38529,0.014001,300,300,low_variance
vuamc,deepseek,expert_only,56.0,0.353085,0.020045,0.064265,0.020045,0.349204,0.013174,300,300,low_variance
vuamc,deepseek,expert_only,72.0,0.306909,0.017714,0.007319,0.017714,0.302756,0.010966,300,300,low_variance
vuamc,deepseek,expert_only,93.0,0.28486,0.016335,0.033066,0.016335,0.281146,0.010693,300,300,low_variance
vuamc,deepseek,expert_only,120.0,0.261283,0.014828,0.048073,0.014828,0.25903,0.009142,300,300,low_variance
vuamc,deepseek,expert_only,155.0,0.196461,0.01129,0.018947,0.01129,0.19473,0.006919,300,300,low_variance
vuamc,deepseek,expert_only,200.0,0.15728,0.008886,0.032382,0.008886,0.155993,0.005447,300,300,low_variance
vuamc,deepseek,dsl,20.0,0.806496,0.004262,-0.80311,0.004262,0.806837,0.003632,300,300,low_variance
vuamc,deepseek,dsl,26.0,0.791031,0.003974,-0.788031,0.003974,0.792282,0.003429,300,300,low_variance
vuamc,deepseek,dsl,33.0,0.792857,0.003042,-0.791104,0.003042,0.79627,0.002515,300,300,low_variance
vuamc,deepseek,dsl,43.0,0.798437,0.002275,-0.797464,0.002275,0.799103,0.001928,300,300,low_variance
vuamc,deepseek,dsl,56.0,0.795454,0.00212,-0.794606,0.00212,0.794542,0.001686,300,300,low_variance
vuamc,deepseek,dsl,72.0,0.799269,0.002007,-0.798513,0.002007,0.797987,0.001638,300,300,low_variance
vuamc,deepseek,dsl,93.0,0.795303,0.001743,-0.79473,0.001743,0.794832,0.001433,300,300,low_variance
vuamc,deepseek,dsl,120.0,0.792016,0.001367,-0.791662,0.001367,0.7922,0.001179,300,300,low_variance
vuamc,deepseek,dsl,155.0,0.794594,0.001212,-0.794317,0.001212,0.794264,0.001055,300,300,low_variance
vuamc,deepseek,dsl,200.0,0.794696,0.001011,-0.794503,0.001011,0.793748,0.000847,300,300,low_variance
vuamc,deepseek,ppi,20.0,1.003033,0.055762,-0.270636,0.055762,1.027179,0.036982,300,300,low_variance
vuamc,deepseek,ppi,26.0,0.797823,0.040414,-0.38279,0.040414,0.812247,0.022229,300,300,low_variance
vuamc,deepseek,ppi,33.0,0.79306,0.041459,-0.336603,0.041459,0.812013,0.023532,300,300,low_variance
vuamc,deepseek,ppi,43.0,0.680026,0.032225,-0.388448,0.032225,0.689781,0.016923,300,300,low_variance
vuamc,deepseek,ppi,56.0,0.605213,0.026168,-0.401057,0.026168,0.608702,0.015912,300,300,low_variance
vuamc,deepseek,ppi,72.0,0.594871,0.022303,-0.452382,0.022303,0.597283,0.015527,300,300,low_variance
vuamc,deepseek,ppi,93.0,0.539091,0.019135,-0.425173,0.019135,0.541001,0.012159,300,300,low_variance
vuamc,deepseek,ppi,120.0,0.502614,0.015826,-0.421285,0.015826,0.504403,0.010657,300,300,low_variance
vuamc,deepseek,ppi,155.0,0.507811,0.012802,-0.456841,0.012802,0.50834,0.010165,300,300,low_variance
vuamc,deepseek,ppi,200.0,0.502945,0.011921,-0.458608,0.011921,0.502383,0.010204,300,300,low_variance
vuamc,deepseek,ppipp,20.0,0.534356,0.008179,-0.515236,0.008179,0.536604,0.007081,300,300,low_variance
vuamc,deepseek,ppipp,26.0,0.53614,0.007028,-0.52214,0.007028,0.539357,0.006151,300,300,low_variance
vuamc,deepseek,ppipp,33.0,0.526862,0.006183,-0.515863,0.006183,0.531361,0.005442,300,300,low_variance
vuamc,deepseek,ppipp,43.0,0.542172,0.004905,-0.535473,0.004905,0.543763,0.004461,300,300,low_variance
vuamc,deepseek,ppipp,56.0,0.520978,0.004635,-0.514756,0.004635,0.522603,0.004234,300,300,low_variance
vuamc,deepseek,ppipp,72.0,0.538177,0.004347,-0.532884,0.004347,0.536875,0.003939,300,300,low_variance
vuamc,deepseek,ppipp,93.0,0.524571,0.004109,-0.51972,0.004109,0.525149,0.003715,300,300,low_variance
vuamc,deepseek,ppipp,120.0,0.508984,0.003694,-0.504946,0.003694,0.510001,0.003371,300,300,low_variance
vuamc,deepseek,ppipp,155.0,0.509099,0.003062,-0.506329,0.003062,0.509317,0.002804,300,300,low_variance
vuamc,deepseek,ppipp,200.0,0.499738,0.00245,-0.497934,0.00245,0.499766,0.002245,300,300,low_variance
