dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,,0.565056,0.0,0.136418,0.0,300,300,full_logistic
vuamc,gpt54,expert_only,20.0,1.125068,0.019709,1.620343,0.201123,300,300,full_logistic
vuamc,gpt54,expert_only,26.0,1.237377,0.021688,1.386733,0.196354,300,300,full_logistic
vuamc,gpt54,expert_only,33.0,1.204752,0.021377,1.016514,0.189019,300,300,full_logistic
vuamc,gpt54,expert_only,43.0,1.255625,0.025553,0.35291,0.154637,300,300,full_logistic
vuamc,gpt54,expert_only,56.0,1.204064,0.027207,0.669717,0.158742,300,300,full_logistic
vuamc,gpt54,expert_only,72.0,1.131871,0.029511,0.605137,0.122124,300,300,full_logistic
vuamc,gpt54,expert_only,93.0,0.99166,0.027896,0.316826,0.092626,300,300,full_logistic
vuamc,gpt54,expert_only,120.0,0.895329,0.027423,0.232584,0.078852,300,300,full_logistic
vuamc,gpt54,expert_only,155.0,0.703233,0.019632,0.211528,0.052032,300,300,full_logistic
vuamc,gpt54,expert_only,200.0,0.569494,0.016782,0.144072,0.04686,300,300,full_logistic
vuamc,gpt54,dsl,20.0,0.810104,0.004433,-0.020444,0.048184,300,300,full_logistic
vuamc,gpt54,dsl,26.0,0.773535,0.003321,0.053557,0.041496,300,300,full_logistic
vuamc,gpt54,dsl,33.0,0.771051,0.001864,-0.149675,0.03002,300,300,full_logistic
vuamc,gpt54,dsl,43.0,0.767635,0.001688,-0.202093,0.02354,300,300,full_logistic
vuamc,gpt54,dsl,56.0,0.765767,0.001304,-0.156739,0.022366,300,300,full_logistic
vuamc,gpt54,dsl,72.0,0.766385,0.001084,-0.160011,0.020498,300,300,full_logistic
vuamc,gpt54,dsl,93.0,0.763681,0.001014,-0.167656,0.015972,300,300,full_logistic
vuamc,gpt54,dsl,120.0,0.764049,0.000823,-0.16415,0.014246,300,300,full_logistic
vuamc,gpt54,dsl,155.0,0.761165,0.000775,-0.1497,0.013083,300,300,full_logistic
vuamc,gpt54,dsl,200.0,0.762828,0.000632,-0.162833,0.011528,300,300,full_logistic
vuamc,gpt54,ppi,20.0,1.562322,0.059987,0.470882,0.224821,300,300,full_logistic
vuamc,gpt54,ppi,26.0,1.160552,0.04043,0.089688,0.162837,300,300,full_logistic
vuamc,gpt54,ppi,33.0,1.076815,0.035296,-0.058987,0.143078,300,300,full_logistic
vuamc,gpt54,ppi,43.0,0.817621,0.021203,-0.042529,0.104495,300,300,full_logistic
vuamc,gpt54,ppi,56.0,0.761255,0.016698,0.036659,0.088273,300,300,full_logistic
vuamc,gpt54,ppi,72.0,0.703276,0.01212,0.000635,0.077778,300,300,full_logistic
vuamc,gpt54,ppi,93.0,0.658112,0.008377,-0.049339,0.061176,300,300,full_logistic
vuamc,gpt54,ppi,120.0,0.635713,0.007506,-0.051771,0.050107,300,300,full_logistic
vuamc,gpt54,ppi,155.0,0.613114,0.005299,-0.001405,0.043655,300,300,full_logistic
vuamc,gpt54,ppi,200.0,0.614588,0.004895,-0.056894,0.036748,300,300,full_logistic
vuamc,gpt54,ppipp,20.0,0.676168,0.004906,0.267569,0.060638,300,300,full_logistic
vuamc,gpt54,ppipp,26.0,0.656485,0.004432,0.190483,0.053603,300,300,full_logistic
vuamc,gpt54,ppipp,33.0,0.646698,0.003915,0.073399,0.043393,300,300,full_logistic
vuamc,gpt54,ppipp,43.0,0.626984,0.003269,-0.086379,0.038125,300,300,full_logistic
vuamc,gpt54,ppipp,56.0,0.627135,0.002885,0.009903,0.03745,300,300,full_logistic
vuamc,gpt54,ppipp,72.0,0.622374,0.002383,0.035822,0.032042,300,300,full_logistic
vuamc,gpt54,ppipp,93.0,0.617587,0.002297,-0.004684,0.02669,300,300,full_logistic
vuamc,gpt54,ppipp,120.0,0.611956,0.001878,-0.039725,0.023008,300,300,full_logistic
vuamc,gpt54,ppipp,155.0,0.608906,0.001699,-0.018107,0.018514,300,300,full_logistic
vuamc,gpt54,ppipp,200.0,0.605954,0.001369,-0.021572,0.016733,300,300,full_logistic
