dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,,0.440999,0.0,-0.440999,0.0,0.440866,0.0,300,300,high_variance
vuamc,gpt54,expert_only,20.0,0.737843,0.03233,0.480457,0.03233,0.812074,0.022859,300,300,high_variance
vuamc,gpt54,expert_only,26.0,0.742526,0.034771,0.434326,0.034771,0.811958,0.025367,300,300,high_variance
vuamc,gpt54,expert_only,33.0,0.732961,0.03405,0.435223,0.03405,0.783653,0.026122,300,300,high_variance
vuamc,gpt54,expert_only,43.0,0.669012,0.034013,0.317051,0.034013,0.698281,0.024949,300,300,high_variance
vuamc,gpt54,expert_only,56.0,0.630087,0.03212,0.29582,0.03212,0.658887,0.024856,300,300,high_variance
vuamc,gpt54,expert_only,72.0,0.582351,0.030308,0.252096,0.030308,0.602815,0.023418,300,300,high_variance
vuamc,gpt54,expert_only,93.0,0.399302,0.021239,0.155275,0.021239,0.414603,0.015284,300,300,high_variance
vuamc,gpt54,expert_only,120.0,0.365944,0.020179,0.108446,0.020179,0.376916,0.014644,300,300,high_variance
vuamc,gpt54,expert_only,155.0,0.292455,0.016192,0.082927,0.016192,0.300696,0.011313,300,300,high_variance
vuamc,gpt54,expert_only,200.0,0.262452,0.01473,0.061557,0.01473,0.27003,0.010173,300,300,high_variance
vuamc,gpt54,dsl,20.0,0.631409,0.004471,-0.626642,0.004471,0.63853,0.004665,300,300,high_variance
vuamc,gpt54,dsl,26.0,0.601917,0.004058,-0.597799,0.004058,0.606645,0.00422,300,300,high_variance
vuamc,gpt54,dsl,33.0,0.618846,0.002813,-0.616925,0.002813,0.619967,0.002846,300,300,high_variance
vuamc,gpt54,dsl,43.0,0.628114,0.002271,-0.626881,0.002271,0.628689,0.002283,300,300,high_variance
vuamc,gpt54,dsl,56.0,0.623771,0.002092,-0.622718,0.002092,0.624319,0.002131,300,300,high_variance
vuamc,gpt54,dsl,72.0,0.62753,0.001813,-0.626744,0.001813,0.627907,0.001845,300,300,high_variance
vuamc,gpt54,dsl,93.0,0.623098,0.001445,-0.622596,0.001445,0.623152,0.001467,300,300,high_variance
vuamc,gpt54,dsl,120.0,0.62454,0.001296,-0.624137,0.001296,0.624303,0.001311,300,300,high_variance
vuamc,gpt54,dsl,155.0,0.62196,0.001194,-0.621616,0.001194,0.621637,0.001208,300,300,high_variance
vuamc,gpt54,dsl,200.0,0.624607,0.000951,-0.624389,0.000951,0.624161,0.00096,300,300,high_variance
vuamc,gpt54,ppi,20.0,0.830093,0.047921,0.010766,0.047921,1.030481,0.042542,300,300,high_variance
vuamc,gpt54,ppi,26.0,0.64045,0.036088,-0.139511,0.036088,0.753261,0.028852,300,300,high_variance
vuamc,gpt54,ppi,33.0,0.557352,0.030986,-0.150333,0.030986,0.628082,0.022386,300,300,high_variance
vuamc,gpt54,ppi,43.0,0.497827,0.02453,-0.259465,0.02453,0.546063,0.018566,300,300,high_variance
vuamc,gpt54,ppi,56.0,0.39192,0.018212,-0.232592,0.018212,0.427768,0.01009,300,300,high_variance
vuamc,gpt54,ppi,72.0,0.409653,0.017237,-0.280502,0.017237,0.433049,0.011346,300,300,high_variance
vuamc,gpt54,ppi,93.0,0.356428,0.012232,-0.286623,0.012232,0.372665,0.007366,300,300,high_variance
vuamc,gpt54,ppi,120.0,0.354632,0.010531,-0.304124,0.010531,0.366117,0.007292,300,300,high_variance
vuamc,gpt54,ppi,155.0,0.339,0.010306,-0.288197,0.010306,0.348084,0.007052,300,300,high_variance
vuamc,gpt54,ppi,200.0,0.350398,0.007707,-0.323975,0.007707,0.355514,0.006614,300,300,high_variance
vuamc,gpt54,ppipp,20.0,0.357007,0.008213,-0.327439,0.008213,0.379224,0.007715,300,300,high_variance
vuamc,gpt54,ppipp,26.0,0.353433,0.007723,-0.327139,0.007723,0.371502,0.007366,300,300,high_variance
vuamc,gpt54,ppipp,33.0,0.343762,0.006603,-0.324182,0.006603,0.356014,0.006301,300,300,high_variance
vuamc,gpt54,ppipp,43.0,0.356443,0.006359,-0.339002,0.006359,0.365042,0.006186,300,300,high_variance
vuamc,gpt54,ppipp,56.0,0.345805,0.005626,-0.331792,0.005626,0.353101,0.005513,300,300,high_variance
vuamc,gpt54,ppipp,72.0,0.349864,0.005153,-0.338289,0.005153,0.355885,0.005097,300,300,high_variance
vuamc,gpt54,ppipp,93.0,0.342423,0.004157,-0.334767,0.004157,0.347288,0.004123,300,300,high_variance
vuamc,gpt54,ppipp,120.0,0.348812,0.003906,-0.34219,0.003906,0.351897,0.003884,300,300,high_variance
vuamc,gpt54,ppipp,155.0,0.345944,0.003458,-0.34072,0.003458,0.347728,0.003445,300,300,high_variance
vuamc,gpt54,ppipp,200.0,0.346896,0.003168,-0.342528,0.003168,0.348647,0.003155,300,300,high_variance
