dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,llama,llm_only,,0.590558,0.0,-0.590558,0.0,0.64097,0.0,300,300,high_variance
vuamc,llama,expert_only,20.0,0.737843,0.03233,0.480457,0.03233,0.812074,0.022859,300,300,high_variance
vuamc,llama,expert_only,26.0,0.742526,0.034771,0.434326,0.034771,0.811958,0.025367,300,300,high_variance
vuamc,llama,expert_only,33.0,0.732961,0.03405,0.435223,0.03405,0.783653,0.026122,300,300,high_variance
vuamc,llama,expert_only,43.0,0.669012,0.034013,0.317051,0.034013,0.698281,0.024949,300,300,high_variance
vuamc,llama,expert_only,56.0,0.630087,0.03212,0.29582,0.03212,0.658887,0.024856,300,300,high_variance
vuamc,llama,expert_only,72.0,0.582351,0.030308,0.252096,0.030308,0.602815,0.023418,300,300,high_variance
vuamc,llama,expert_only,93.0,0.399302,0.021239,0.155275,0.021239,0.414603,0.015284,300,300,high_variance
vuamc,llama,expert_only,120.0,0.365944,0.020179,0.108446,0.020179,0.376916,0.014644,300,300,high_variance
vuamc,llama,expert_only,155.0,0.292455,0.016192,0.082927,0.016192,0.300696,0.011313,300,300,high_variance
vuamc,llama,expert_only,200.0,0.262452,0.01473,0.061557,0.01473,0.27003,0.010173,300,300,high_variance
vuamc,llama,dsl,20.0,0.630001,0.004511,-0.625137,0.004511,0.637229,0.004706,300,300,high_variance
vuamc,llama,dsl,26.0,0.612975,0.003972,-0.609102,0.003972,0.617846,0.004145,300,300,high_variance
vuamc,llama,dsl,33.0,0.622983,0.002811,-0.621078,0.002811,0.625096,0.002889,300,300,high_variance
vuamc,llama,dsl,43.0,0.62554,0.002203,-0.624375,0.002203,0.626604,0.002228,300,300,high_variance
vuamc,llama,dsl,56.0,0.625818,0.002113,-0.624747,0.002113,0.626766,0.00215,300,300,high_variance
vuamc,llama,dsl,72.0,0.625125,0.001672,-0.624453,0.001672,0.625637,0.001697,300,300,high_variance
vuamc,llama,dsl,93.0,0.623654,0.001541,-0.623082,0.001541,0.624036,0.001552,300,300,high_variance
vuamc,llama,dsl,120.0,0.624492,0.001412,-0.624013,0.001412,0.624474,0.00142,300,300,high_variance
vuamc,llama,dsl,155.0,0.622898,0.001127,-0.622592,0.001127,0.622734,0.001128,300,300,high_variance
vuamc,llama,dsl,200.0,0.624528,0.000889,-0.624338,0.000889,0.624199,0.000889,300,300,high_variance
vuamc,llama,ppi,20.0,1.042407,0.060132,0.043249,0.060132,1.403914,0.066998,300,300,high_variance
vuamc,llama,ppi,26.0,0.901692,0.052052,0.014985,0.052052,1.221498,0.057423,300,300,high_variance
vuamc,llama,ppi,33.0,0.713881,0.041012,-0.070986,0.041012,0.890725,0.037383,300,300,high_variance
vuamc,llama,ppi,43.0,0.598841,0.032721,-0.19344,0.032721,0.738714,0.031197,300,300,high_variance
vuamc,llama,ppi,56.0,0.489182,0.025455,-0.211918,0.025455,0.578973,0.021167,300,300,high_variance
vuamc,llama,ppi,72.0,0.439807,0.021771,-0.226353,0.021771,0.506615,0.017154,300,300,high_variance
vuamc,llama,ppi,93.0,0.438768,0.021369,-0.235633,0.021369,0.501404,0.016626,300,300,high_variance
vuamc,llama,ppi,120.0,0.378358,0.01506,-0.274065,0.01506,0.415134,0.011327,300,300,high_variance
vuamc,llama,ppi,155.0,0.354701,0.012021,-0.287163,0.012021,0.374561,0.007427,300,300,high_variance
vuamc,llama,ppi,200.0,0.351275,0.010046,-0.305147,0.010046,0.36652,0.006701,300,300,high_variance
vuamc,llama,ppipp,20.0,0.335479,0.007601,-0.308568,0.007601,0.362555,0.007344,300,300,high_variance
vuamc,llama,ppipp,26.0,0.34037,0.007294,-0.316058,0.007294,0.359803,0.007006,300,300,high_variance
vuamc,llama,ppipp,33.0,0.33107,0.006314,-0.312488,0.006314,0.344882,0.006002,300,300,high_variance
vuamc,llama,ppipp,43.0,0.348956,0.006141,-0.33235,0.006141,0.357877,0.005962,300,300,high_variance
vuamc,llama,ppipp,56.0,0.341336,0.005418,-0.328181,0.005418,0.348613,0.005292,300,300,high_variance
vuamc,llama,ppipp,72.0,0.342577,0.004919,-0.331814,0.004919,0.348672,0.004872,300,300,high_variance
vuamc,llama,ppipp,93.0,0.340806,0.004041,-0.33354,0.004041,0.345553,0.004013,300,300,high_variance
vuamc,llama,ppipp,120.0,0.347591,0.003843,-0.34116,0.003843,0.350505,0.003817,300,300,high_variance
vuamc,llama,ppipp,155.0,0.34498,0.003365,-0.340022,0.003365,0.346695,0.003348,300,300,high_variance
vuamc,llama,ppipp,200.0,0.345739,0.003091,-0.341568,0.003091,0.347374,0.003071,300,300,high_variance
